,Mean intensity,Standard Deviation,Entropy,Histogram Skewness
0,0.5330193638801575,0.19454005360603333,7.511553262221946,-0.30226659774780273
1,0.5330193638801575,0.19454005360603333,7.511553262221946,-0.30226659774780273
2,0.45120930671691895,0.289745032787323,7.610678473512092,0.027009405195713043
3,0.5492005348205566,0.2244214415550232,7.3883216633344295,-0.7143619656562805
4,0.3871743679046631,0.25185626745224,7.463355665305144,0.3016805946826935
5,0.58137446641922,0.26718005537986755,7.6752419536790235,-0.15164265036582947
6,0.514106035232544,0.18313398957252502,7.057757720301568,-0.8220124840736389
7,0.43791577219963074,0.23375600576400757,7.470736555590855,0.09909997135400772
8,0.5928863286972046,0.2644992768764496,7.675032190603856,-0.4691845178604126
9,0.45837417244911194,0.3134183883666992,7.5517791515016714,0.1683218628168106
10,0.40880757570266724,0.13519339263439178,6.624215329726602,0.49425458908081055
11,0.4542941451072693,0.20624403655529022,7.570597119761256,0.306045800447464
12,0.46907365322113037,0.1894882172346115,7.231693755405437,0.48881080746650696
13,0.5000855922698975,0.19488385319709778,7.18225174330061,-0.41104787588119507
14,0.32901057600975037,0.19766904413700104,7.2782656325903154,0.4912203848361969
15,0.40102076530456543,0.2775246798992157,7.531283158783269,0.058855921030044556
16,0.6031466722488403,0.286365807056427,7.594017778272063,-0.2971803843975067
17,0.614075243473053,0.19531066715717316,7.208241722315285,-0.6718007326126099
18,0.3213188052177429,0.21259646117687225,6.516006284983531,0.6451456546783447
19,0.3799489140510559,0.19130288064479828,7.49327632347487,0.4590184688568115
20,0.45579400658607483,0.15015068650245667,6.908388061245316,-0.9508243203163147
21,0.3530689477920532,0.26276957988739014,7.353094473227126,0.7497557401657104
22,0.5728376507759094,0.19559888541698456,7.071885102368935,-0.9958046674728394
23,0.6257107853889465,0.1665543168783188,6.852582091221875,-1.1285688877105713
24,0.4122145473957062,0.17234116792678833,7.000595122212653,-0.10861320793628693
25,0.43455028533935547,0.15265284478664398,7.175809038726798,-0.18290188908576965
26,0.47938185930252075,0.23393744230270386,7.698176264234437,0.14748014509677887
27,0.42991530895233154,0.17998327314853668,7.463062936562855,0.3270239531993866
28,0.3123512864112854,0.10180700570344925,6.4360242575539255,-0.818892240524292
29,0.5790920257568359,0.2502421438694,7.559033807811747,-0.32397493720054626
30,0.42509451508522034,0.25485506653785706,7.7772351281342305,0.5283035039901733
31,0.46957212686538696,0.21120961010456085,6.972966092108703,0.349636971950531
32,0.6201358437538147,0.20952120423316956,7.167011447661263,-0.8520024418830872
33,0.5306479334831238,0.24817411601543427,7.618095197561137,-0.16446170210838318
34,0.41508471965789795,0.19663101434707642,7.544795596537314,0.31069308519363403
35,0.5458471179008484,0.21558216214179993,7.383966070459998,-0.7857756018638611
36,0.5471172332763672,0.1780119389295578,7.135171404856031,-0.20194703340530396
37,0.16116850078105927,0.15593543648719788,6.348224347193094,1.1896991729736328
38,0.33179596066474915,0.22470858693122864,6.9257347519555745,0.35349079966545105
39,0.47914648056030273,0.18880991637706757,6.988515603758822,-0.12833912670612335
40,0.3670809864997864,0.24453195929527283,7.429934181934927,0.6510534286499023
41,0.5538989901542664,0.23940907418727875,7.686226933586348,-0.39091965556144714
42,0.5998928546905518,0.2893237769603729,7.718187554038175,-0.3670833110809326
